,Secciones,Indicadores de renta media y mediana,Periodo,Total
6097,2800505030 Alcalá de Henares sección 05030,Renta neta media por hogar,2021,44.597
6139,2800505031 Alcalá de Henares sección 05031,Renta neta media por hogar,2021,65.084
6181,2800505032 Alcalá de Henares sección 05032,Renta neta media por hogar,2021,76.883
6307,2800601001 Alcobendas sección 01001,Renta neta media por hogar,2021,31.002
6349,2800601002 Alcobendas sección 01002,Renta neta media por hogar,2021,33.475
6391,2800601003 Alcobendas sección 01003,Renta neta media por hogar,2021,29.357
6433,2800601004 Alcobendas sección 01004,Renta neta media por hogar,2021,32.875
6475,2800601005 Alcobendas sección 01005,Renta neta media por hogar,2021,31.790
6517,2800601006 Alcobendas sección 01006,Renta neta media por hogar,2021,29.075
6559,2800601007 Alcobendas sección 01007,Renta neta media por hogar,2021,33.077
6601,2800601008 Alcobendas sección 01008,Renta neta media por hogar,2021,30.564
6643,2800601009 Alcobendas sección 01009,Renta neta media por hogar,2021,29.856
6685,2800601011 Alcobendas sección 01011,Renta neta media por hogar,2021,28.798
6727,2800601012 Alcobendas sección 01012,Renta neta media por hogar,2021,28.080
6769,2800601013 Alcobendas sección 01013,Renta neta media por hogar,2021,31.815
6811,2800601014 Alcobendas sección 01014,Renta neta media por hogar,2021,31.823
6853,2800601015 Alcobendas sección 01015,Renta neta media por hogar,2021,34.517
6895,2800601016 Alcobendas sección 01016,Renta neta media por hogar,2021,32.670
6937,2800601017 Alcobendas sección 01017,Renta neta media por hogar,2021,27.491
6979,2800601018 Alcobendas sección 01018,Renta neta media por hogar,2021,28.335
7021,2800601019 Alcobendas sección 01019,Renta neta media por hogar,2021,31.084
7063,2800601020 Alcobendas sección 01020,Renta neta media por hogar,2021,
7105,2800601021 Alcobendas sección 01021,Renta neta media por hogar,2021,33.325
7147,2800601022 Alcobendas sección 01022,Renta neta media por hogar,2021,31.052
7189,2800601023 Alcobendas sección 01023,Renta neta media por hogar,2021,37.822
7231,2800601024 Alcobendas sección 01024,Renta neta media por hogar,2021,35.070
7273,2800601025 Alcobendas sección 01025,Renta neta media por hogar,2021,34.658
7315,2800601026 Alcobendas sección 01026,Renta neta media por hogar,2021,40.794
7357,2800601027 Alcobendas sección 01027,Renta neta media por hogar,2021,36.479
7399,2800601028 Alcobendas sección 01028,Renta neta media por hogar,2021,39.023
7441,2800601029 Alcobendas sección 01029,Renta neta media por hogar,2021,34.934
7483,2800601030 Alcobendas sección 01030,Renta neta media por hogar,2021,52.220
7525,2800601031 Alcobendas sección 01031,Renta neta media por hogar,2021,44.550
7567,2800601032 Alcobendas sección 01032,Renta neta media por hogar,2021,37.873
7609,2800601033 Alcobendas sección 01033,Renta neta media por hogar,2021,88.769
7651,2800601034 Alcobendas sección 01034,Renta neta media por hogar,2021,88.769
7693,2800601035 Alcobendas sección 01035,Renta neta media por hogar,2021,88.769
7735,2800601036 Alcobendas sección 01036,Renta neta media por hogar,2021,88.769
7777,2800601037 Alcobendas sección 01037,Renta neta media por hogar,2021,69.352
7819,2800601038 Alcobendas sección 01038,Renta neta media por hogar,2021,44.258
7861,2800601039 Alcobendas sección 01039,Renta neta media por hogar,2021,88.769
7903,2800601040 Alcobendas sección 01040,Renta neta media por hogar,2021,88.769
7945,2800601041 Alcobendas sección 01041,Renta neta media por hogar,2021,88.769
7987,2800601042 Alcobendas sección 01042,Renta neta media por hogar,2021,33.561
8029,2800601043 Alcobendas sección 01043,Renta neta media por hogar,2021,29.360
8071,2800601044 Alcobendas sección 01044,Renta neta media por hogar,2021,54.766
8113,2800601045 Alcobendas sección 01045,Renta neta media por hogar,2021,44.434
8155,2800601046 Alcobendas sección 01046,Renta neta media por hogar,2021,42.314
8197,2800601047 Alcobendas sección 01047,Renta neta media por hogar,2021,57.439
8239,2800601048 Alcobendas sección 01048,Renta neta media por hogar,2021,88.769
8281,2800601049 Alcobendas sección 01049,Renta neta media por hogar,2021,47.893
8323,2800601050 Alcobendas sección 01050,Renta neta media por hogar,2021,79.374
8365,2800601051 Alcobendas sección 01051,Renta neta media por hogar,2021,63.075
8407,2800601052 Alcobendas sección 01052,Renta neta media por hogar,2021,76.297
8449,2800601053 Alcobendas sección 01053,Renta neta media por hogar,2021,76.511
8491,2800601054 Alcobendas sección 01054,Renta neta media por hogar,2021,38.299
8533,2800601055 Alcobendas sección 01055,Renta neta media por hogar,2021,50.260
8575,2800601056 Alcobendas sección 01056,Renta neta media por hogar,2021,39.800
8617,2800601057 Alcobendas sección 01057,Renta neta media por hogar,2021,59.032
